"ANO","MES","UF","MUNICIPIO","TIPO_REQUERIMENTO","DECISAO","SEXO","CATEGORIA","TOTAL"
"2023","01","AC","BRASILÉIA","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Porte de Arma de Fogo","Indeferido","M","Cidadão",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Aquisição de Arma de Fogo","Indeferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","CRUZEIRO DO SUL","Requerimento de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","EPITACIOLÂNDIA","Requerimento de Transferência de Registro de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","EPITACIOLÂNDIA","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","MÂNCIO LIMA","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","MÂNCIO LIMA","Requerimento de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","MARECHAL THAUMATURGO","Requerimento de Registro de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","MARECHAL THAUMATURGO","Requerimento de Registro de Arma de Fogo","Deferido","M","Caçador de Subsistência",1
"2023","01","AC","PLÁCIDO DE CASTRO","Requerimento de Transferência de Registro de Arma de Fogo","Indeferido","M","Cidadão",1
"2023","01","AC","PLÁCIDO DE CASTRO","Requerimento de Aquisição de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","PLÁCIDO DE CASTRO","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","PLÁCIDO DE CASTRO","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",2
"2023","01","AC","PLÁCIDO DE CASTRO","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","M","Cidadão",1
"2023","01","AC","RIO BRANCO","Requerimento de Registro de Ocorrência de Arma de Fogo","Deferido","F","Cidadão",1
"2023","01","AC","RIO BRANCO","Requerimento de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",1
"2023","01","AC","RIO BRANCO","Requerimento de Registro de Arma de Fogo","Deferido","M","Servidor Público(Porte por prerrogativa de função)",3
