ANO;MES;UF;MUNICIPIO;TIPO_REQUERIMENTO;DECISAO;SEXO;CATEGORIA;TOTAL
2025;12;PA;PRAINHA                            ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;10;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;10;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;AC;MARECHAL THAUMATURGO               ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;11;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;10;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;PA;PRAINHA                            ;Requerimento de Transferência de Registro de Arma de Fogo;Indeferido   ;F;Caçador de Subsistência                           ;1
2025;06;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;03;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;F;Caçador de Subsistência                           ;1
2025;12;PA;RURÓPOLIS                          ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;ORIXIMINÁ                          ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;04;AC;SANTA ROSA DO PURUS                ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;10;PA;MONTE ALEGRE                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;03;PA;BREVES                             ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;06;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;04;PA;PRAINHA                            ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;06;PA;CURUÁ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;ALTAMIRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;07;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;08;PA;ALENQUER                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;12;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;11;PA;RURÓPOLIS                          ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;12;PA;BELTERRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;SC;ITAJAÍ                             ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;2
2025;05;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;12;PA;SANTARÉM                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;11;AC;MÂNCIO LIMA                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;04;AC;FEIJÓ                              ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;AM;GUAJARÁ                            ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;AC;SENA MADUREIRA                     ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;AC;FEIJÓ                              ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;F;Caçador de Subsistência                           ;1
2025;02;AC;MÂNCIO LIMA                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;08;AC;RIO BRANCO                         ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;10;PA;BELTERRA                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;PRAINHA                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;09;PA;BELTERRA                           ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;05;PA;MONTE ALEGRE                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;10;PA;URUARÁ                             ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;01;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;02;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;PA;SANTARÉM                           ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;02;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2025;07;AM;GUAJARÁ                            ;Requerimento de Registro de Arma de Fogo                 ;Indeferido   ;M;Caçador de Subsistência                           ;1
2025;01;GO;GOIÂNIA                            ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;3
2025;02;RS;PORTO ALEGRE                       ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;08;RJ;NOVA IGUAÇU                        ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;04;GO;CAMPOS BELOS                       ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;02;BA;VITÓRIA DA CONQUISTA               ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;2
2025;02;DF;BRASÍLIA                           ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Indeferido   ;M;Cidadão                                           ;1
2025;07;PE;CARUARU                            ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;08;GO;SANTA HELENA DE GOIÁS              ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;06;MA;BOM JARDIM                         ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;08;BA;SALVADOR                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;11;PE;BEZERROS                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;10;RS;PORTO XAVIER                       ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;04;MG;LAVRAS                             ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;07;SC;JOINVILLE                          ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;08;PR;CURITIBA                           ;Requerimento de Porte de Arma de Fogo                    ;Deferido     ;M;Cidadão                                           ;1
2025;09;PI;CAMPO MAIOR                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;02;GO;VILA PROPÍCIO                      ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;11;RS;PORTO ALEGRE                       ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;10;RJ;ITAPERUNA                          ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;07;SP;SÃO PAULO                          ;Requerimento de Porte de Arma de Fogo                    ;Deferido     ;M;Cidadão                                           ;2
2025;07;PR;FOZ DO IGUAÇU                      ;Requerimento de Porte de Arma de Fogo                    ;Indeferido   ;M;Cidadão                                           ;1
2025;12;GO;PIRANHAS                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;01;ES;CARIACICA                          ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;10;RS;PAROBÉ                             ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;07;AL;MACEIÓ                             ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;08;GO;GOIÂNIA                            ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;05;RJ;CACHOEIRAS DE MACACU               ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;09;SE;ITABAIANA                          ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;02;RS;SÃO LEOPOLDO                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;07;GO;IPORÁ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;03;PR;BANDEIRANTES                       ;Requerimento de Porte de Arma de Fogo                    ;Deferido     ;M;Cidadão                                           ;1
2025;11;GO;GOIÂNIA                            ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Cidadão                                           ;1
2025;02;MS;CAMPO GRANDE                       ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;3
2025;12;MA;ALDEIAS ALTAS                      ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;09;RO;PORTO VELHO                        ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;08;RS;SÃO VALÉRIO DO SUL                 ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;03;RJ;NOVA FRIBURGO                      ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;F;Cidadão                                           ;1
2025;05;ES;CACHOEIRO DE ITAPEMIRIM            ;Requerimento de Porte de Arma de Fogo                    ;Indeferido   ;M;Cidadão                                           ;1
2025;09;ES;BARRA DE SÃO FRANCISCO             ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;09;PA;URUARÁ                             ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;03;SC;NAVEGANTES                         ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;1
2025;12;PE;SALGUEIRO                          ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
2025;04;RS;SANTA CRUZ DO SUL                  ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;1
2025;03;RS;SANTA CRUZ DO SUL                  ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Cidadão                                           ;1
2025;07;RS;CAXIAS DO SUL                      ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Cidadão                                           ;2
2025;07;PR;CURITIBA                           ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Cidadão                                           ;2
2025;11;MG;ESMERALDAS                         ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;07;SP;PIRASSUNUNGA                       ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Cidadão                                           ;1
2025;07;SC;URUSSANGA                          ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;2
2025;05;AL;MATA GRANDE                        ;Requerimento de Registro de Ocorrência de Arma de Fogo   ;Deferido     ;M;Cidadão                                           ;1
