ANO;MES;UF;MUNICIPIO;TIPO_REQUERIMENTO;DECISAO;SEXO;CATEGORIA;TOTAL
2026;02;AM;MANACAPURU                         ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;02;RO;VALE DO ANARI                      ;Requerimento de Transferência de Registro de Arma de Fogo;Indeferido   ;F;Caçador de Subsistência                           ;1
2026;06;CE;FORTALEZA                          ;Requerimento de Transferência de Registro de Arma de Fogo;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;05;RS;CAMPOS BORGES                      ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Caçador de Subsistência                           ;1
2026;06;RS;CAMPOS BORGES                      ;Requerimento de Transferência de Registro de Arma de Fogo;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;03;PA;RURÓPOLIS                          ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;2
2026;03;PA;BRASIL NOVO                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;04;AC;MARECHAL THAUMATURGO               ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;01;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;02;PA;MONTE ALEGRE                       ;Requerimento de Transferência de Registro de Arma de Fogo;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;04;RJ;RIO DE JANEIRO                     ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Caçador de Subsistência                           ;1
2026;05;AM;BARCELOS                           ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;03;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;03;AC;MÂNCIO LIMA                        ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;01;PA;ALENQUER                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;06;AC;BUJARI                             ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;04;RS;SANANDUVA                          ;Requerimento de Transferência de Registro de Arma de Fogo;Deferido     ;M;Caçador de Subsistência                           ;1
2026;03;AM;IPIXUNA                            ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;01;PA;ALTAMIRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;01;AC;FEIJÓ                              ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2026;03;AC;PORTO WALTER                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;04;AC;SENA MADUREIRA                     ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2026;03;PA;URUARÁ                             ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;F;Caçador de Subsistência                           ;1
