ANO;MES;UF;MUNICIPIO;TIPO_REQUERIMENTO;DECISAO;SEXO;CATEGORIA;TOTAL
2024;01;AC;CRUZEIRO DO SUL                    ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;01;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;2
2024;02;AC;FEIJÓ                              ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;MT;POCONÉ                             ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;2
2024;02;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;AC;MÂNCIO LIMA                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2024;03;PA;MONTE ALEGRE                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2024;03;AM;GUAJARÁ                            ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;02;PA;MONTE ALEGRE                       ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;02;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;AC;CRUZEIRO DO SUL                    ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;F;Caçador de Subsistência                           ;1
2024;03;PA;BELTERRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;02;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;04;PA;BELTERRA                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;04;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;F;Caçador de Subsistência                           ;1
2024;03;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;AC;CRUZEIRO DO SUL                    ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;04;PA;PLACAS                             ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;04;PA;SANTARÉM                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;03;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;F;Caçador de Subsistência                           ;1
2024;02;PA;ALENQUER                           ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;06;PA;BELTERRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;05;PA;MOJUÍ DOS CAMPOS                   ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;06;PA;BELTERRA                           ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;06;AC;FEIJÓ                              ;Requerimento de Segunda Via de Documento                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;05;GO;TERESINA DE GOIÁS                  ;Requerimento de Aquisição de Arma de Fogo                ;Indeferido   ;M;Caçador de Subsistência                           ;1
2024;06;AC;FEIJÓ                              ;Requerimento de Registro de Arma de Fogo                 ;Deferido     ;M;Caçador de Subsistência                           ;1
2024;06;AC;MÂNCIO LIMA                        ;Requerimento de Aquisição de Arma de Fogo                ;Deferido     ;M;Caçador de Subsistência                           ;1
