ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;TIPO;STATUS;ABRANGENCIA;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;TOTAL
2025;01;AC;BRASILÉIA                          ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;AC;RIO BRANCO                         ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;AC;RIO BRANCO                         ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AC;SENA MADUREIRA                     ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AL;MACEIÓ                             ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;2
2025;01;AL;MACEIÓ                             ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AL;MACEIÓ                             ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
2025;01;AL;RIO LARGO                          ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AM;MANAUS                             ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ;.380 ACP                                          ;M;1
2025;01;AM;MANAUS                             ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;BA;BARREIRAS                          ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;BA;BARREIRAS                          ;Defesa Pessoal         ;Vencido       ;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;BA;LAURO DE FREITAS                   ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;BA;LAURO DE FREITAS                   ;Funcional              ;Ativo - Válido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;BA;SALVADOR                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;BA;SALVADOR                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;BA;SEABRA                             ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;F;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;IMBEL                                                                 ;380AUTO                                           ;M;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Ativo - Válido;Regional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;CE;FORTALEZA                          ;Funcional              ;Ativo - Válido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;2
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;2
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;2
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;1
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;F;1
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;1
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;DF;BRASÍLIA                           ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;2
2025;01;DF;BRASÍLIA                           ;Segurança Dignitário   ;Ativo - Válido;Nacional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;Outros Calibres                                   ;M;1
2025;01;ES;ANCHIETA                           ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;CARIACICA                          ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;COLATINA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;1
2025;01;ES;COLATINA                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;GUARAPARI                          ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;ES;LINHARES                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;LINHARES                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;2
2025;01;ES;NOVA VENÉCIA                       ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.22 LR                                            ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Vencido       ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;SERRA                              ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;2
2025;01;ES;SERRA                              ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;VIANA                              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;VILA VELHA                         ;Funcional              ;Ativo - Válido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;VITÓRIA                            ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;VITÓRIA                            ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;VITÓRIA                            ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;2
2025;01;ES;VITÓRIA                            ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;3
2025;01;GO;ALEXÂNIA                           ;Defesa Pessoal         ;Cancelado     ;Regional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;ANICUNS                            ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;1
2025;01;GO;ANÁPOLIS                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;ANÁPOLIS                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;GO;ANÁPOLIS                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;3
2025;01;GO;ANÁPOLIS                           ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;1
2025;01;GO;ANÁPOLIS                           ;Defesa Pessoal         ;Vencido       ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;GO;ANÁPOLIS                           ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;GO;APARECIDA DE GOIÂNIA               ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;1
2025;01;GO;APARECIDA DE GOIÂNIA               ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
2025;01;GO;BONFINÓPOLIS                       ;Funcional              ;Ativo - Válido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;GO;CALDAS NOVAS                       ;Defesa Pessoal         ;Ativo - Válido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;GO;CERES                              ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;GO;CIDADE OCIDENTAL                   ;Segurança Dignitário   ;Ativo - Válido;Nacional  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;M;1
2025;01;GO;COCALZINHO DE GOIÁS                ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;GO;GOIÂNIA                            ;Defesa Pessoal         ;Ativo - Válido;Estadual  ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;1
