ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;CATEGORIA;TOTAL
2025;01;AC;BRASILÉIA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;F;Cidadão                                           ;1
2025;01;AC;BRASILÉIA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AC;BUJARI                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;AC;CRUZEIRO DO SUL                    ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;F;Caçador de Subsistência                           ;1
2025;01;AC;CRUZEIRO DO SUL                    ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;M;Caçador de Subsistência                           ;2
2025;01;AC;FEIJÓ                              ;Ativo/Válido;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;32                                                ;M;Caçador de Subsistência                           ;2
2025;01;AC;FEIJÓ                              ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Caçador de Subsistência                           ;1
2025;01;AC;FEIJÓ                              ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;F;Caçador de Subsistência                           ;1
2025;01;AC;FEIJÓ                              ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;M;Caçador de Subsistência                           ;3
2025;01;AC;JORDÃO                             ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2025;01;AC;MARECHAL THAUMATURGO               ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Caçador de Subsistência                           ;1
2025;01;AC;MÂNCIO LIMA                        ;Ativo/Válido;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;36                                                ;M;Caçador de Subsistência                           ;2
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;3
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;4
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;1
2025;01;AC;RIO BRANCO                         ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2025;01;AC;SENA MADUREIRA                     ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2025;01;AC;TARAUACÁ                           ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;32                                                ;M;Caçador de Subsistência                           ;1
2025;01;AL;ARAPIRACA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AL;ARAPIRACA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;AL;MACEIÓ                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2025;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AL;MACEIÓ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2025;01;AL;MARECHAL DEODORO                   ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;AM;ANORI                              ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Cidadão                                           ;1
2025;01;AM;BARCELOS                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AM;BOCA DO ACRE                       ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Cidadão                                           ;1
2025;01;AM;CAREIRO                            ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;M;Cidadão                                           ;1
2025;01;AM;HUMAITÁ                            ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;28                                                ;F;Cidadão                                           ;1
2025;01;AM;IRANDUBA                           ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2025;01;AM;ITACOATIARA                        ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;Cidadão                                           ;1
2025;01;AM;LÁBREA                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AM;MANACAPURU                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AM;MANACAPURU                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;AM;MANAUS                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;M;Cidadão                                           ;1
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;6
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;F;Cidadão                                           ;2
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;19
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;6
2025;01;AM;MANAUS                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;380AUTO                                           ;M;Cidadão                                           ;1
2025;01;AM;MANAUS                             ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;F;Cidadão                                           ;1
2025;01;AM;MANAUS                             ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Cidadão                                           ;2
2025;01;AM;MANICORÉ                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AM;NOVA OLINDA DO NORTE               ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;AM;PRESIDENTE FIGUEIREDO              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;AM;RIO PRETO DA EVA                   ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;M;Cidadão                                           ;1
2025;01;AM;TABATINGA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;F;Cidadão                                           ;1
2025;01;AP;FERREIRA GOMES                     ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 MAGNUM                                        ;M;Cidadão                                           ;1
2025;01;AP;MACAPÁ                             ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AP;MACAPÁ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;3
2025;01;AP;MACAPÁ                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;2
2025;01;AP;MACAPÁ                             ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;AP;MAZAGÃO                            ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Cidadão                                           ;1
2025;01;AP;MAZAGÃO                            ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;20                                                ;M;Cidadão                                           ;1
2025;01;AP;MAZAGÃO                            ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Cidadão                                           ;1
2025;01;AP;SANTANA                            ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;BA;ALAGOINHAS                         ;Ativo/Válido;Espingarda                                        ;SA-KA ARMS                                                            ;12                                                ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;BA;ALAGOINHAS                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2025;01;BA;APORÁ                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;BA;ARACI                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;BA;BARREIRAS                          ;Ativo/Válido;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;12                                                ;M;Cidadão                                           ;1
2025;01;BA;BARREIRAS                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2025;01;BA;CAMAÇARI                           ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2025;01;BA;CANDEIAS                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;BA;CAPIM GROSSO                       ;Ativo/Válido;Pistola                                           ;CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ;.380 ACP                                          ;M;Cidadão                                           ;1
2025;01;BA;CAPIM GROSSO                       ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Servidor Público(Porte por prerrogativa de função);1
