ANO_EMISSAO;MES_MISSAO;UF;MUNICIPIO;STATUS_REGISTRO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;CATEGORIA;TOTAL
2026;04;SE;ARACAJU                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;7
2026;04;SE;ARACAJU                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);2
2026;04;SE;ARACAJU                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40                                               ;F;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;ARACAJU                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;M;Servidor Público(Porte por prerrogativa de função);2
2026;04;SE;ARACAJU                            ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;ARACAJU                            ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;ARAUÁ                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;2
2026;04;SE;BARRA DOS COQUEIROS                ;Ativo/Válido;Pistola                                           ;DFA AREX DELTA                                                        ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;ITABAIANA                          ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2026;04;SE;LAGARTO                            ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9 mm                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;NEÓPOLIS                           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SE;NOSSA SENHORA DO SOCORRO           ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2026;04;SE;NOSSA SENHORA DO SOCORRO           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;F;Servidor Público(Porte por prerrogativa de função);1
2026;04;SE;NOSSA SENHORA DO SOCORRO           ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SE;RIACHÃO DO DANTAS                  ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2026;04;SE;SIMÃO DIAS                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;04;SE;SÃO CRISTÓVÃO                      ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2026;04;SP;ADAMANTINA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SP;ADAMANTINA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Cidadão                                           ;1
2026;04;SP;ADAMANTINA                         ;Ativo/Válido;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;AGUAÍ                              ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SP;AMERICANA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SP;AMERICANA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;AMERICANA                          ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Servidor Público(Porte por prerrogativa de função);2
2026;04;SP;AMPARO                             ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;M;Cidadão                                           ;1
2026;04;SP;AMPARO                             ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;3
2026;04;SP;AMPARO                             ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;Cidadão                                           ;1
2026;04;SP;AMPARO                             ;Ativo/Válido;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ANDRADINA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ARARAQUARA                         ;Ativo/Válido;Pistola                                           ;SMITH & WESSON                                                        ;380AUTO                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ARARAQUARA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Cidadão                                           ;1
2026;04;SP;ARARAQUARA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ARARAQUARA                         ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ARAÇATUBA                          ;Ativo/Válido;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;M;Servidor Público(Porte por prerrogativa de função);1
2026;04;SP;ARAÇATUBA                          ;Ativo/Válido;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;Servidor Público(Porte por prerrogativa de função);1
