ANO_OCORRENCIA;MES_OCORRENCIA;UF;MUNICIPIO;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;TIPO_OCORRENCIA;MAIS_1000_MIL_HAB;TOTAL
2025;07;CE;JATI                               ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Apostilada no Exercito                                                    ;N;1
2025;07;CE;JUAZEIRO DO NORTE                  ;Espingarda                                        ;BOITO (E.R. AMANTINO & CIA)                                           ;12                                                ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;CE;JUAZEIRO DO NORTE                  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;CE;JUAZEIRO DO NORTE                  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Apostilada no Exercito                                                    ;S;1
2025;07;CE;JUAZEIRO DO NORTE                  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;CE;MARANGUAPE                         ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;CE;MORADA NOVA                        ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;07;CE;SOBRAL                             ;Pistola                                           ;IMBEL                                                                 ;.40                                               ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;DF;BRASÍLIA                           ;Espingarda                                        ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.32                                               ;Campanha do Desarmamento                                                  ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;BERSA                                                                 ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;BERSA                                                                 ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Apostilada no Exercito                                                    ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;.380                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Apostilada no Exercito                                                    ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;SIG SAUER (SIG SAUER GMBH)                                            ;9x19mm                                            ;Campanha do Desarmamento                                                  ;S;2
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Campanha do Desarmamento                                                  ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apostilada no Exercito                                                    ;S;2
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo                                                 ;S;4
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;2
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;07;DF;BRASÍLIA                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;DF;BRASÍLIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.32                                               ;Apostilada no Exercito                                                    ;S;1
2025;07;DF;BRASÍLIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.357 Mag                                          ;Apostilada no Exercito                                                    ;S;1
2025;07;DF;BRASÍLIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Campanha do Desarmamento                                                  ;S;2
2025;07;DF;BRASÍLIA                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;Furto de Arma de Fogo                                                     ;S;1
2025;07;DF;BRASÍLIA                           ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Campanha do Desarmamento                                                  ;S;1
2025;07;ES;AFONSO CLÁUDIO                     ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Apreensão de Arma de Fogo                                                 ;N;1
2025;07;ES;BARRA DE SÃO FRANCISCO             ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Recuperação de Arma de Fogo                                               ;N;1
2025;07;ES;CACHOEIRO DE ITAPEMIRIM            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Furto de Arma de Fogo                                                     ;S;1
2025;07;ES;CARIACICA                          ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Apreensão de Arma de Fogo                                                 ;S;1
2025;07;ES;DOMINGOS MARTINS                   ;Espingarda                                        ;ROSSI (AMADEO ROSSI S.A.)                                             ;36/.22LR (duplo cano)                             ;Campanha do Desarmamento                                                  ;N;1
2025;07;ES;DOMINGOS MARTINS                   ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apreensão de Arma de Fogo                                                 ;N;1
2025;07;ES;ITAPEMIRIM                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Roubo de Arma de Fogo                                                     ;N;1
2025;07;ES;LINHARES                           ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;ES;LINHARES                           ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;S;1
2025;07;ES;MUNIZ FREIRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Apostilada no Exercito                                                    ;N;1
2025;07;ES;MUNIZ FREIRE                       ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Recuperação de Arma de Fogo                                               ;N;1
2025;07;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Furto de Arma de Fogo                                                     ;S;1
2025;07;ES;SERRA                              ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.40 S&W                                           ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;ES;SÃO MATEUS                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;Furto de Arma de Fogo                                                     ;S;1
2025;07;ES;SÃO MATEUS                         ;Rifle                                             ;CBC (COMPANHIA BRASILEIRA DE CARTUCHOS)                               ;.22 LR                                            ;Furto de Arma de Fogo                                                     ;S;2
2025;07;ES;VILA VELHA                         ;Pistola                                           ;GLOCK GMBH (ÁUSTRIA)                                                  ;9x19mm                                            ;Campanha do Desarmamento                                                  ;S;1
2025;07;ES;VILA VELHA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;Recuperação de Arma de Fogo                                               ;S;1
2025;07;ES;VILA VELHA                         ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;Campanha do Desarmamento                                                  ;S;1
2025;07;ES;VITÓRIA                            ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;7,65mm                                            ;Campanha do Desarmamento                                                  ;S;1
